faultNumber,statistic,n_runs,detection_ratio,far_mean,far_std,far_ci_low,far_ci_high,fdr_mean,fdr_std,fdr_ci_low,fdr_ci_high,delay_samples_mean,delay_samples_std,delay_samples_ci_low,delay_samples_ci_high,delay_minutes_mean,delay_minutes_std,delay_minutes_ci_low,delay_minutes_ci_high
0,SPE,1,0.0,0.028125,,,,,,,,,,,,,,,
1,SPE,1,1.0,0.025,,,,0.9975,,,,2.0,,,,6.0,,,
2,SPE,1,1.0,0.05,,,,0.98875,,,,10.0,,,,30.0,,,
3,SPE,1,1.0,0.125,,,,0.0375,,,,537.0,,,,1611.0,,,
4,SPE,1,1.0,0.03125,,,,0.98375,,,,4.0,,,,12.0,,,
5,SPE,1,1.0,0.03125,,,,0.29125,,,,2.0,,,,6.0,,,
6,SPE,1,1.0,0.0125,,,,1.0,,,,0.0,,,,0.0,,,
7,SPE,1,1.0,0.0125,,,,1.0,,,,0.0,,,,0.0,,,
8,SPE,1,1.0,0.00625,,,,0.97375,,,,21.0,,,,63.0,,,
9,SPE,1,1.0,0.04375,,,,0.0575,,,,223.0,,,,669.0,,,
10,SPE,1,1.0,0.01875,,,,0.47125,,,,34.0,,,,102.0,,,
11,SPE,1,1.0,0.03125,,,,0.60875,,,,8.0,,,,24.0,,,
12,SPE,1,1.0,0.08125,,,,0.975,,,,2.0,,,,6.0,,,
13,SPE,1,1.0,0.0125,,,,0.95375,,,,36.0,,,,108.0,,,
14,SPE,1,1.0,0.03125,,,,0.99875,,,,1.0,,,,3.0,,,
15,SPE,1,1.0,0.03125,,,,0.08375,,,,92.0,,,,276.0,,,
16,SPE,1,1.0,0.05625,,,,0.40375,,,,35.0,,,,105.0,,,
17,SPE,1,1.0,0.01875,,,,0.945,,,,23.0,,,,69.0,,,
18,SPE,1,1.0,0.05625,,,,0.905,,,,78.0,,,,234.0,,,
19,SPE,1,1.0,0.0125,,,,0.17875,,,,80.0,,,,240.0,,,
20,SPE,1,1.0,0.00625,,,,0.55375,,,,80.0,,,,240.0,,,
21,SPE,1,1.0,0.05625,,,,0.5825,,,,241.0,,,,723.0,,,
