faultNumber,statistic,simulationRun,far,fdr,delay_samples,delay_minutes,detected
0,T2,1,0.014583333333333334,,,,False
0,SPE,1,0.028125,,,,False
1,T2,1,0.0,0.99375,6.0,18.0,True
1,SPE,1,0.025,0.9975,2.0,6.0,True
2,T2,1,0.00625,0.9825,14.0,42.0,True
2,SPE,1,0.05,0.98875,10.0,30.0,True
3,T2,1,0.00625,0.045,42.0,126.0,True
3,SPE,1,0.125,0.0375,537.0,1611.0,True
4,T2,1,0.0125,0.42,63.0,189.0,True
4,SPE,1,0.03125,0.98375,4.0,12.0,True
5,T2,1,0.0125,0.28375,0.0,0.0,True
5,SPE,1,0.03125,0.29125,2.0,6.0,True
6,T2,1,0.0,0.99375,5.0,15.0,True
6,SPE,1,0.0125,1.0,0.0,0.0,True
7,T2,1,0.0,1.0,0.0,0.0,True
7,SPE,1,0.0125,1.0,0.0,0.0,True
8,T2,1,0.0,0.97375,22.0,66.0,True
8,SPE,1,0.00625,0.97375,21.0,63.0,True
9,T2,1,0.05,0.03125,5.0,15.0,True
9,SPE,1,0.04375,0.0575,223.0,669.0,True
10,T2,1,0.0,0.46375,22.0,66.0,True
10,SPE,1,0.01875,0.47125,34.0,102.0,True
11,T2,1,0.01875,0.52625,5.0,15.0,True
11,SPE,1,0.03125,0.60875,8.0,24.0,True
12,T2,1,0.00625,0.9875,2.0,6.0,True
12,SPE,1,0.08125,0.975,2.0,6.0,True
13,T2,1,0.00625,0.95,38.0,114.0,True
13,SPE,1,0.0125,0.95375,36.0,108.0,True
14,T2,1,0.00625,0.99625,0.0,0.0,True
14,SPE,1,0.03125,0.99875,1.0,3.0,True
15,T2,1,0.0,0.07875,577.0,1731.0,True
15,SPE,1,0.03125,0.08375,92.0,276.0,True
16,T2,1,0.1375,0.28125,196.0,588.0,True
16,SPE,1,0.05625,0.40375,35.0,105.0,True
17,T2,1,0.0125,0.8075,28.0,84.0,True
17,SPE,1,0.01875,0.945,23.0,69.0,True
18,T2,1,0.0,0.8925,88.0,264.0,True
18,SPE,1,0.05625,0.905,78.0,234.0,True
19,T2,1,0.00625,0.07125,76.0,228.0,True
19,SPE,1,0.0125,0.17875,80.0,240.0,True
20,T2,1,0.0,0.44875,84.0,252.0,True
20,SPE,1,0.00625,0.55375,80.0,240.0,True
21,T2,1,0.0125,0.39625,284.0,852.0,True
21,SPE,1,0.05625,0.5825,241.0,723.0,True
