method,faultNumber,simulationRun,f1,n
kNN (k=5),0,1,0.4688995215311005,960
kNN (k=5),1,1,0.9905362776025236,800
kNN (k=5),2,1,0.9879822896900696,800
kNN (k=5),3,1,0.27586206896551724,800
kNN (k=5),4,1,0.2887700534759358,800
kNN (k=5),5,1,0.3453981385729059,800
kNN (k=5),6,1,0.9937106918238994,800
kNN (k=5),7,1,0.7860394537177542,800
kNN (k=5),8,1,0.42209072978303747,800
kNN (k=5),9,1,0.14814814814814814,800
kNN (k=5),10,1,0.12206572769953052,800
kNN (k=5),11,1,0.18181818181818182,800
kNN (k=5),12,1,0.48914069877242683,800
kNN (k=5),13,1,0.3789260385005066,800
kNN (k=5),14,1,0.7933634992458521,800
kNN (k=5),15,1,0.1672394043528064,800
kNN (k=5),16,1,0.0861244019138756,800
kNN (k=5),17,1,0.6710963455149501,800
kNN (k=5),18,1,0.8995873452544704,800
kNN (k=5),19,1,0.5388127853881278,800
kNN (k=5),20,1,0.2261640798226164,800
kNN (k=5),21,1,0.06529625151148731,800
Random Forest,0,1,0.34053586862575624,960
Random Forest,1,1,0.9949748743718593,800
Random Forest,2,1,0.9911727616645649,800
Random Forest,3,1,0.3350676378772112,800
Random Forest,4,1,0.9860583016476553,800
Random Forest,5,1,0.7701767870868562,800
Random Forest,6,1,0.9987484355444305,800
Random Forest,7,1,0.9981214777708203,800
Random Forest,8,1,0.7767584097859327,800
Random Forest,9,1,0.3157894736842105,800
Random Forest,10,1,0.6301369863013698,800
Random Forest,11,1,0.8086373790022338,800
Random Forest,12,1,0.8595866001425517,800
Random Forest,13,1,0.3175604626708728,800
Random Forest,14,1,0.9743589743589743,800
Random Forest,15,1,0.2978723404255319,800
Random Forest,16,1,0.6406117247238743,800
Random Forest,17,1,0.9603638726445743,800
Random Forest,18,1,0.9181879648411089,800
Random Forest,19,1,0.9174560216508796,800
Random Forest,20,1,0.774885145482389,800
Random Forest,21,1,0.4126984126984127,800
